geometry,lambda_fib,d_reduction,d_fib_frac,label,VA_paper,VA_recurrence,VA_strict,VA_cycle,va,va_paper,va_recurrence,va_strict,va_cycle,activation_persists_ms,n_extra_cycles,n_probes_activated,n_probes_relapped,n_ordered_laps,circulation_direction,lap_period_ms,n_lap_periods,cv_mm_per_ms,excited_fraction,u_max,u_final_max,dt,cfl_r,elapsed_s,n_s1,observe_ms,nx,ny,dx,path_mm,tau_close,stimulus_mode,apd0d_ms,R_path_over_CV_APD,cv_for_R_mm_per_ms,cv_for_R_source
annulus,0.01,0.3,0.7,Non-VA,Non-VA,Non-VA,Non-VA,Non-VA,0,0,0,0,0,394.60000000000014,0,12,0,1,ccw,,0,,0.0,1.2,1.5034747826067935e-52,0.1,0.023146666666666663,14.006919499952346,3,1000.0,64,64,0.75,106.81415022205297,150.0,current,253.8,,,
annulus,0.01,0.7,0.30000000000000004,VA,Non-VA,VA,Non-VA,VA,1,0,1,0,1,666.5999999999999,1,12,5,2,ccw,330.29999999999995,5,,0.0,1.2,4.2296428011350284e-27,0.1,0.009920000000000003,13.926415299996734,3,1000.0,64,64,0.75,106.81415022205297,150.0,current,253.8,1.3014184397163118,0.3233852565003118,path_over_lap
annulus,0.01,0.9,0.09999999999999998,VA,VA,VA,VA,VA,1,1,1,1,1,1000.0,2,12,9,2,cw,446.4000000000001,12,,0.2847222222222222,1.2,0.934616787089004,0.1,0.003306666666666666,13.396674599964172,3,1000.0,64,64,0.75,106.81415022205297,150.0,current,253.8,1.7588652482269507,0.23927901035406127,path_over_lap
annulus,0.1,0.3,0.7,VA,Non-VA,VA,Non-VA,VA,1,0,1,0,1,632.5,1,12,4,2,ccw,346.9,4,,0.0,1.2,2.5288892818161424e-66,0.1,0.023146666666666663,13.906234199879691,3,1000.0,64,64,0.75,106.81415022205297,150.0,current,227.3,1.5261768587769464,0.30791049357755257,path_over_lap
annulus,0.1,0.7,0.30000000000000004,Non-VA,Non-VA,Non-VA,Non-VA,Non-VA,0,0,0,0,0,0.0,0,0,0,0,,,0,,0.0,1.2,2.4231570467463738e-197,0.1,0.009920000000000003,13.502526800148189,3,1000.0,64,64,0.75,106.81415022205297,150.0,current,227.3,,,
annulus,0.1,0.9,0.09999999999999998,Non-VA,Non-VA,Non-VA,Non-VA,Non-VA,0,0,0,0,0,0.0,0,0,0,0,,,0,,0.0,1.2,1.2325011503848863e-204,0.1,0.003306666666666666,13.838851200183854,3,1000.0,64,64,0.75,106.81415022205297,150.0,current,227.3,,,
annulus,0.2,0.3,0.7,Non-VA,Non-VA,Non-VA,Non-VA,Non-VA,0,0,0,0,0,0.0,0,0,0,0,,,0,,0.0,1.2,3.5e-323,0.1,0.023146666666666663,13.841588099952787,3,1000.0,64,64,0.75,106.81415022205297,150.0,current,,,,
annulus,0.2,0.7,0.30000000000000004,Non-VA,Non-VA,Non-VA,Non-VA,Non-VA,0,0,0,0,0,0.0,0,0,0,0,,,0,,0.0,1.2,1.14918e-316,0.1,0.009920000000000003,13.596123799914494,3,1000.0,64,64,0.75,106.81415022205297,150.0,current,,,,
annulus,0.2,0.9,0.09999999999999998,Non-VA,Non-VA,Non-VA,Non-VA,Non-VA,0,0,0,0,0,0.0,0,0,0,0,,,0,,0.0,1.2,8.88109973e-315,0.1,0.003306666666666666,13.935576500138268,3,1000.0,64,64,0.75,106.81415022205297,150.0,current,,,,
annulus,0.3,0.3,0.7,Non-VA,Non-VA,Non-VA,Non-VA,Non-VA,0,0,0,0,0,0.0,0,0,0,0,,,0,,0.0,1.2,2.5e-323,0.1,0.023146666666666663,14.305317499907687,3,1000.0,64,64,0.75,106.81415022205297,150.0,current,,,,
annulus,0.3,0.7,0.30000000000000004,Non-VA,Non-VA,Non-VA,Non-VA,Non-VA,0,0,0,0,0,0.0,0,0,0,0,,,0,,0.0,1.2,2.5e-323,0.1,0.009920000000000003,14.46877079992555,3,1000.0,64,64,0.75,106.81415022205297,150.0,current,,,,
annulus,0.3,0.9,0.09999999999999998,Non-VA,Non-VA,Non-VA,Non-VA,Non-VA,0,0,0,0,0,0.0,0,0,0,0,,,0,,0.0,1.2,2.5e-323,0.1,0.003306666666666666,14.120885499985889,3,1000.0,64,64,0.75,106.81415022205297,150.0,current,,,,
